tachometer_signal,underhang_bearing_axial,underhang_bearing_radial,underhang_bearing_tangential,overhang_bearing_axial,overhang_bearing_radial,overhang_bearing_tangential,microphone
4.4769,-1.7045,-0.076488,-0.051497,-0.56721,0.041456,-0.031897,0.040889
-0.62956,0.60853,0.36804,0.0087758,-0.412,-0.02562,0.037048,-0.1359
-0.314,1.3193,0.053945,-0.0044426,-0.98191,-0.047625,-0.038595,0.10908
-0.47724,-0.78908,-0.41018,0.01719,-1.0997,0.023789,-0.13394,0.032444
-0.6134,-1.1834,0.24284,-0.0048922,-0.67686,-0.035663,-0.13352,-0.078585
-0.92125,1.5613,0.33588,0.059395,-1.0596,-0.033905,-0.096584,-0.071966
-0.62623,-0.70094,-0.55531,-0.072949,-1.4314,-0.0072207,-0.28608,0.53193
-0.58951,-2.575,-0.32364,-0.021116,-1.4295,-0.0056163,-0.18168,0.097256
-0.54777,0.46087,0.42182,0.1178,-1.341,-0.0064057,-0.21132,-0.14598
-0.59163,1.5332,0.035026,0.047718,-0.35573,0.039345,-0.012451,0.044808
-0.5822,-0.33481,-0.059323,-0.0078788,-0.50471,-0.035419,-0.019098,0.07669
-0.65032,-0.42703,-0.11611,-0.0086624,-0.72594,0.027639,-0.14531,-0.078074
-0.55917,1.6661,0.42682,0.014666,0.046317,-0.026569,0.10845,-0.1331
-0.42537,0.64338,-0.031617,-0.097504,-0.52345,-0.012907,-0.097522,0.16092
-0.38032,-2.3285,-0.33193,-0.03402,-0.21616,-0.013863,-0.10039,0.11614
-0.54374,-0.69869,0.21744,0.05012,-0.11006,0.035918,-0.0012389,-0.14337
-0.76905,1.8513,0.13416,0.061418,-0.56529,0.027106,-0.15804,-0.011072
-0.54925,-0.85318,-0.50327,-0.081813,0.068827,-0.002799,-0.18259,0.21138
-0.52684,-0.71237,0.04842,0.036548,0.14272,0.05879,0.064894,-0.021829
-0.37797,1.4566,0.33316,0.076145,-0.18333,-0.01222,0.056064,-0.10811
-0.51195,0.74046,-0.089003,0.0031943,0.10968,0.04059,0.067565,0.16226
4.5801,0.0014039,0.03466,-0.046191,-0.2038,0.04917,0.11533,0.019837
4.4955,-0.95353,0.10762,-0.078499,0.52503,-0.024773,0.092906,-0.16433
4.4536,1.834,0.33271,0.065946,0.027705,-0.031877,0.048081,-0.051132
-0.38576,0.02103,-0.077632,-0.053295,-0.15312,-0.020794,0.05345,0.15267
-0.54585,-2.411,-0.12036,0.00038103,-0.44177,-0.044288,-0.074846,0.045221
-0.61954,0.98344,0.38768,0.052169,-0.32165,-0.028386,-0.024846,-0.091874
-0.76882,1.414,0.041225,-8.7844e-05,-0.72974,-0.057855,-0.13289,0.10315
-0.60983,-1.9217,-0.64421,-0.041612,-0.45658,0.014137,-0.077415,0.3188
-0.59419,-1.2004,0.081491,0.016021,-0.64139,0.01046,-0.12449,-0.090073
-0.41055,1.6318,0.31382,0.047088,-1.2504,-0.012874,-0.11321,-0.13047
-0.61173,0.039467,-0.25325,-0.044284,-0.37094,0.014849,-0.024525,0.18529
-0.58601,-1.2288,-0.066114,-0.005406,0.12147,-0.020312,0.077346,0.0050395
-0.6154,0.39356,0.30579,0.060795,-0.10509,-0.0034857,0.0042326,-0.15968
-0.56211,1.6043,0.14795,0.018031,0.27716,0.015305,0.026105,0.022904
-0.55805,-0.53123,-0.21471,-0.03551,0.10636,0.036617,0.041801,0.11315
-0.45367,-1.3798,0.087144,-0.028483,-0.43733,0.0097279,-0.14252,-0.027865
-0.54836,1.1483,0.37267,0.083191,0.26677,-0.0074517,0.026722,-0.11935
-0.67837,0.85074,-0.057223,-0.04271,-0.23974,-0.019209,-0.089296,0.1573
-0.53229,0.075109,-0.48789,-0.012902,-0.42242,0.011653,-0.11604,-0.048431
-0.53052,-0.90044,0.2369,0.069992,0.21623,0.040243,0.045307,-0.10545
-0.28339,1.8249,0.18563,0.0058598,0.42872,0.061132,0.088173,-0.015064
-0.53018,-0.38189,-0.39115,-0.012921,0.6421,0.061652,0.13287,0.16628
-0.51422,-0.27376,-0.013886,0.03992,0.69139,0.015035,0.075785,-0.048041
4.5363,1.1997,0.33632,-0.011694,0.17209,0.049767,0.0024923,-0.1222
4.5251,1.3028,0.079403,0.016451,1.1233,-0.006964,0.21576,0.093946
