tachometer_signal,underhang_bearing_axial,underhang_bearing_radial,underhang_bearing_tangential,overhang_bearing_axial,overhang_bearing_radial,overhang_bearing_tangential,microphone
-0.5374,-3.7892,-2.8494,0.10433,1.6961,-0.062334,-0.84209,0.011221
-0.5841,0.18984,-2.4203,0.48462,-0.15961,-0.044827,1.3009,0.098813
-0.67523,-3.9947,-1.597,0.83398,0.54201,0.0072058,-1.5644,0.11483
-0.65933,2.1583,-0.6204,-0.60292,2.623,-0.089884,2.2695,0.30274
-0.95889,-3.2481,0.090845,-0.52789,0.52615,0.02239,-2.349,0.23394
-0.66538,3.5376,0.30193,-0.66753,3.4744,-0.19363,0.76657,0.11828
-0.60376,-1.577,0.44398,0.33484,0.67734,-0.021506,-1.9815,0.07304
-0.62812,5.838,1.4463,0.70657,4.2603,0.078684,1.7384,-0.030007
-0.62948,-0.34234,2.6791,-0.18462,-5.5142,0.022281,-1.6117,-0.091265
-0.4736,1.2092,-0.4228,0.097874,-1.4305,0.030951,1.9031,-0.12982
-0.70125,0.40471,1.4125,0.1695,-5.5071,0.0091118,-0.47494,-0.14447
-0.62262,-4.7228,-2.0172,0.09702,2.356,-0.15814,-2.5573,-0.14028
-0.74413,3.3305,0.83162,-0.46138,-3.1015,0.0091824,0.7815,-0.074253
-0.76644,-8.5377,-1.7686,0.99985,7.3272,0.14332,-6.2599,-0.020028
-0.58514,4.7248,2.1915,0.32806,0.35981,-0.22744,-1.6406,-0.051059
-0.59643,-4.642,-1.5915,-0.63823,5.7336,0.32338,-0.076009,0.098911
-0.59998,4.2075,-0.47235,1.1317,-0.61028,-0.044641,1.371,0.049967
4.4959,-0.57135,-0.040084,-0.81906,-0.96195,0.005717,0.15865,0.064351
4.4622,4.5029,-0.98946,0.6678,-0.68801,-0.031504,1.7334,0.15007
-0.64694,-2.282,-2.6323,0.01473,-2.3078,-0.042709,0.0029546,0.101
-0.6792,3.2737,-1.3521,0.038687,-3.5197,-0.043005,2.2172,0.01514
-0.90397,-0.44693,-1.464,0.96454,-2.1369,-0.061256,0.39285,-0.058604
-0.72094,4.6622,1.0822,0.64501,-4.238,-0.0056035,1.7841,-0.087006
-0.6559,-2.8386,0.80955,-0.89116,-1.2673,-0.041843,1.6882,-0.15564
-0.65006,1.3486,1.1275,0.578,-1.5085,0.014586,1.6235,-0.10859
-0.39124,0.15178,0.99592,0.55824,-3.0689,-0.0092101,-0.043482,-0.029764
-0.55757,-2.8311,0.30074,0.86729,1.161,0.0095418,-0.48081,-0.051327
-0.65146,0.48349,0.20107,0.34929,-0.35309,-0.052092,0.9001,0.089541
-0.6463,-4.9065,0.0072038,0.56583,3.6954,0.019489,-2.6301,0.093459
-0.63972,4.4667,-0.14924,-0.30077,4.2574,-0.13369,-0.1498,0.084113
-0.71708,-3.5643,1.54,-0.34445,0.74492,0.0016098,-0.78029,0.15805
-0.62374,4.4515,-0.34129,-0.29862,4.4224,0.099117,1.7653,0.20057
-0.6129,-0.41761,0.30724,-0.030141,-5.8428,-0.0070153,-1.2185,0.099982
-0.60998,2.5723,0.51752,-0.40423,-1.3396,-0.032968,3.8,0.020421
-0.46991,1.5174,1.5968,-0.36923,-8.287,-0.00068767,-0.24158,-0.0074701
-0.63237,0.30931,-0.13593,-0.1554,-0.78802,-0.083647,0.095019,-0.054832
-0.60646,0.61135,-0.25538,-0.90437,-2.5698,0.042932,1.9271,-0.12149
-0.60375,-3.901,-3.1544,0.2634,5.5643,0.093322,-1.9656,-0.074326
4.4799,3.6485,0.94501,0.6012,-2.7145,-0.13545,-1.1292,-0.11424
4.4668,-4.6833,-1.9344,0.13278,6.9374,0.36049,-2.1948,-0.029788
4.4402,2.7257,0.93776,0.55541,-3.1732,-0.10254,-1.7283,0.019423
-0.67109,-4.463,-1.5465,0.20878,6.0228,0.25687,-0.12287,0.0066215
-0.30966,2.7393,1.0376,0.27091,-2.565,-0.064035,-0.46067,0.11033
-0.55362,-5.0791,-0.56838,0.41526,4.8462,0.13975,-0.15721,0.038431
-0.67199,3.8865,-0.34928,0.31772,2.4698,-0.072275,0.94359,0.21262
-0.66845,-3.2546,-0.65036,0.36979,1.1686,-0.053061,-1.2015,0.12914
-0.74349,4.4136,0.63386,0.0012353,4.5191,0.086244,2.9858,0.092972
-0.70182,0.21127,1.9169,0.435,-3.7798,-0.0094476,-2.1979,0.033491
-0.63884,5.3763,1.109,0.70483,2.738,0.023846,1.6151,-0.034437
-0.63539,0.21248,1.6446,0.13831,-1.2024,0.0091118,1.8124,-0.099808
-0.32755,-1.3835,1.0301,-0.1935,-3.7004,-0.0092614,-1.6987,-0.097545
-0.55866,2.3587,3.3356,0.34141,0.83764,-0.054672,0.68941,-0.14481
-0.58404,-5.127,0.071232,0.7746,4.9904,0.17261,-2.4477,-0.077612
-0.62496,1.99,2.2061,-0.15197,2.5867,-0.087934,-0.76276,-0.022511
-0.7921,-4.5701,-0.1518,0.086538,6.5957,0.42085,-0.29446,0.027406
-0.78617,4.5799,-0.36509,-0.20874,4.8414,0.14607,1.0156,-0.039669
-0.66162,-3.4222,-0.13898,-1.5672,-2.9923,0.054702,0.1306,0.16859
-0.60004,4.3024,-1.39,0.87174,-0.22686,-0.00063633,1.627,0.13571
-0.59077,0.64301,-1.0019,-0.66849,-4.5872,0.0032848,2.2411,0.055638
4.4992,1.86,-1.6811,0.14399,-2.8239,-0.035053,2.3143,0.049821
4.4567,0.86899,-0.50972,0.63164,-5.3743,-0.018233,0.34295,0.080755
4.4155,-2.2191,-1.9703,-0.52413,0.91334,-0.025106,0.64314,0.0056236
-0.68296,2.5862,1.0595,-0.67697,-0.85802,-0.028963,1.6558,-0.046581
-0.82791,-1.0285,-2.1201,-0.054792,2.7706,-0.17515,0.095025,-0.13247
