tachometer_signal,underhang_bearing_axial,underhang_bearing_radial,underhang_bearing_tangential,overhang_bearing_axial,overhang_bearing_radial,overhang_bearing_tangential,microphone
-0.51143,0.19673,-0.13949,-0.10127,-0.35366,-0.028694,0.088879,0.079659
-0.62238,-0.6327,-0.047741,-0.19487,-0.18348,-0.015506,0.19466,-0.081044
-0.79428,0.84651,0.31735,0.098581,-0.055812,0.0070197,0.49816,-0.21741
-0.72358,-0.51112,0.6384,-0.20304,-0.1039,-0.0019198,0.43181,-0.26706
-0.81821,0.91979,0.70308,0.074546,-0.36049,-0.026056,0.50738,-0.11624
4.3743,0.65658,0.27749,-0.29365,-0.15169,-0.015583,0.30453,-0.18217
4.5341,0.77488,0.75703,0.37678,-0.33642,-0.06082,0.044453,-0.2022
-0.73914,-0.52265,-0.21256,-0.46022,-0.44241,-0.10025,0.44712,-0.002992
-0.7421,0.98715,-0.57836,0.152,-0.21179,-0.050943,-0.20703,0.042057
-0.53615,0.075629,-0.52785,-0.043198,-0.13887,-0.033212,-0.47629,0.14428
-0.72914,-0.40714,-0.59601,-0.29956,-0.66539,-0.10672,-0.15385,0.14985
-0.72495,0.51487,-0.70639,-0.42129,-0.29462,-0.056366,0.63726,0.32073
-0.72462,0.61962,-1.1169,0.4092,-0.067238,0.007193,0.33078,0.044418
-1.0147,0.10449,-0.18099,0.43759,-0.35525,-0.067744,0.49151,0.18838
4.3771,-1.1024,0.42856,-0.076912,-0.4146,-0.085399,0.16465,0.26794
-0.73821,-0.20521,0.34944,0.0022437,-0.076338,-0.043082,0.70704,-0.047579
-0.74482,-0.26213,0.20308,-0.027128,-0.3225,-0.047933,0.054664,-0.15177
-0.44561,0.98006,0.17345,-0.013499,-0.46433,-0.081246,0.3427,-0.27346
-0.68517,-0.58748,0.25129,-0.12809,-0.23417,-0.023726,-0.065849,-0.29081
-0.71984,0.67135,0.12749,0.089993,0.0124,-0.016873,0.17195,-0.25367
-0.72122,0.11389,0.034885,0.18293,-0.15158,-0.049101,0.10529,-0.19395
-1.0355,0.92534,0.17973,0.36645,-0.28147,-0.062918,0.4641,-0.12546
4.3882,0.72601,-0.05775,-0.1276,-0.052318,0.022319,0.12601,-0.063131
4.3392,0.53193,0.24622,-0.38955,-0.48151,-0.086002,0.20622,0.14922
-0.74044,-0.95197,-1.1134,-0.33744,-0.33338,-0.066371,0.30453,0.2712
-0.74626,0.21696,-1.2289,0.29152,-0.25441,-0.075118,-0.18362,0.23968
-0.59549,-0.44568,-0.95601,-0.27153,-0.12634,-0.040579,-0.14431,0.29164
-0.69336,-0.63525,-0.73944,-1.0002,-0.61311,-0.073712,0.07145,0.16516
-0.72704,0.35075,-0.46566,0.19003,-0.23019,-0.0008096,1.1417,0.21744
-0.71069,0.74253,-0.28102,0.53917,-0.036153,0.015748,0.34626,-0.056511
-0.9321,0.51845,0.22455,0.27883,-0.2134,-0.031973,0.43182,-0.05785
4.3709,-0.0050309,0.61127,-0.13087,-0.11195,-0.024785,0.49363,-0.18959
-0.74257,0.10151,0.6268,-0.0063116,0.035533,-0.02603,0.26308,-0.2727
-0.7465,-0.18072,0.21239,0.036947,-0.21572,-0.046079,0.24192,-0.17995
-0.60537,0.94029,-0.0027599,0.46957,-0.203,-0.0096914,-0.035724,-0.27869
-0.65847,-0.57441,-0.15981,-0.036589,-0.12142,-0.044949,0.21569,-0.19222
-0.72683,-0.043723,0.038694,-0.22662,-0.055286,-0.032422,-0.23828,-0.065273
-0.719,0.44773,-0.37436,-0.070817,-0.34212,-0.039096,0.038731,0.0048935
-0.84549,0.082591,0.18891,-0.064773,-0.28966,-0.082062,-0.49382,0.0069135
4.3527,-0.14066,-0.46995,0.030774,-0.19223,-0.027814,-0.13736,0.11653
4.3528,-0.16798,0.38984,-0.43191,-0.61452,-0.098105,-0.15195,0.34304
-0.74428,-0.53878,-0.18426,-0.37307,-0.23354,-0.010795,-0.22807,0.29322
-0.44186,-0.2961,0.15497,0.10312,-0.56111,-0.09507,-0.52638,0.37792
-0.62152,-0.0046713,-0.58367,0.0096814,-0.32546,-0.062738,-0.47268,0.081193
-0.73651,-0.43933,-0.28611,-0.018579,-0.61138,-0.12691,-0.60332,-0.034144
-0.72511,0.58812,0.13492,-0.39011,-0.28249,-0.012342,0.61603,-0.17102
-0.81225,0.56817,0.58081,0.34212,-0.25065,-0.079495,-0.016183,-0.15722
-0.76396,0.83465,0.6099,0.053196,-0.34726,-0.070613,-0.23649,-0.21575
4.3663,0.010703,0.5964,0.036112,-0.23685,-0.017457,-0.037683,-0.3003
